Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
254,Gadwall,GADW,Mareca strepera,"Goleta Slough, Area A",11 Jun 2001,Dave Compton,Fledgling under Parental Care,,,1 adult with 11 chicks,,34.42096,-119.8485046,100,0,,"Compton field notes, airport project for URS",-13341474.504407305,4085467.705119473
255,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, Area K",11 Jun 2001,Dave Compton,Fledgling under Parental Care,,,"Three individual adults with groups of 2, 4, and 2 chicks. On 10 July 2001, Compton saw 4 individual adults with groups of 12, 9, 8, and 12 juveniles, plus 2 adults with 6 juveniles.",,34.4210035,-119.8485046,100,0,,"Compton field notes, airport project for URS",-13341474.504407305,4085473.57535755
256,Pied-billed Grebe,PBGR,Podilymbus podiceps,"Goleta Slough, Area K",11 Jun 2001,Dave Compton,Juvenile Independent,,,4 independent juveniles,,34.42079,-119.8480202,100,2,,"Compton field notes, airport project for URS",-13341420.581245964,4085444.7639884604
259,Black Phoebe,BLPH,Sayornis nigricans,"Goleta, Mesa x Los Carneros Rd, SW",26 Jun 2001,Morgan Ball,Feeding Fledgling,,,"2 adults, 1 feeding fledged juvenile",Compare with 2 May 2004 record for this area.,34.4219123,-119.8597722,50,2,,"Compton field notes, airport project for URS",-13342728.807901766,4085596.2167999675
260,Canada Goose,CANG,Branta canadensis,Goleta Sanitary District Plant,26 Jun 2001,Dave Compton,Fledgling under Parental Care,,,"2 adults with 1 small, downy gosling, possibly <1 week old","This record may involve birds seen on either 21 May or 11 July, if not both (Rec # 278)",34.4220309,-119.8314502,100,4,,"Compton field notes, airport project for URS",-13339576.017283522,4085612.221822455
261,California Towhee,CALT,Melozone crissalis,Goleta Beach County Park,26 Jun 2001,Dave Compton,Fledgling under Parental Care,,,1 juvenile accompanied by adult,,34.4172068,-119.8303412,150,3,,"Compton field notes, airport project for URS",-13339452.56396823,4084961.2297778586
262,Mallard,MALL,Anas platyrhynchos,"Goleta, Santa Barbara Airport, W of main runway",26 Jun 2001,Morgan Ball,Fledgling under Parental Care,,,Adult female with 1 1/4-size chick,"On 11 July 2001, 2 adults are seen here with 1 nearly grown juvenile",34.42858,-119.8550948,200,3,,"Compton field notes, airport project for URS",-13342208.12211553,4086496.055488235
263,Mallard,MALL,Anas platyrhynchos,Goleta Sanitary District Plant,26 Jun 2001,Dave Compton,Fledgling under Parental Care,,,"3 sets of chicks (2, 6, 5) accompanied by single adults.",See also entry for 16 May 2001.,34.4231275,-119.8315851,150,5,,"Compton field notes, airport project for URS",-13339591.03428283,4085760.208628592
264,Mallard,MALL,Anas platyrhynchos,Goleta Sanitary District Plant,26 Jun 2001,Dave Compton,Fledgling with Presumed Parent,,,"2 groups of full-grown juvs (2, 10), unaccompanied by adults",See also entry for 16 May 2001.,34.42316,-119.8315851,150,5,,"Compton field notes, airport project for URS",-13339591.03428283,4085764.5945520606
266,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Santa Ynez Mtns, Windermere",4 Jul 2001,Mark Holmgren,Feeding Fledgling,Coast Live Oak,,adult feeding fledgling, property near 5797 West Camino Cielo,34.50273,-119.82509,15,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338868.003058176,4096507.803374877
267,House Wren,HOWR,Troglodytes aedon,"Santa Ynez Mtns, Windermere",4 Jul 2001,Mark Holmgren,Fledgling Begging,,,,Property near 5797 West Camino Cielo,34.50277,-119.82509,150,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338868.003058176,4096513.206584469
268,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, 5797 West Camino Cielo",4 Jul 2001,Mark Holmgren,Fledgling under Parental Care,,,under pc,,34.50088,-119.82534,200,682,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338895.832930874,4096257.907764269
269,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, Windermere",4 Jul 2001,Mark Holmgren,Feeding Fledgling,,,juv without tail being fed by ad, property near 5797 West Camino Cielo,34.50281,-119.82509,100,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338868.003058176,4096518.6097966526
270,American Coot,AMCO,Fulica americana,"Goleta Slough, Area K",10 Jul 2001,Dave Compton,Fledgling with Presumed Parent,,,"""2 juveniles""",,34.4208345,-119.8480202,100,2,,"Compton field notes, airport project for URS",-13341420.581245964,4085450.7691623666
271,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, Area B-D",10 Jul 2001,Dave Compton,Feeding Fledgling,,,1 adult with 2 begging juveniles,Separate record from other entry for this date and location,34.4236,-119.8452105,350,1,,"Compton field notes, airport project for URS",-13341107.806872683,4085823.9733760445
272,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, Area B-D",10 Jul 2001,Dave Compton,Fledgling under Parental Care,,,1 adult with juvenile,Separate record from other entry for this date and location,34.4237,-119.8452105,350,1,,"Compton field notes, airport project for URS",-13341107.806872683,4085837.4686068958
276,Barn Swallow,BARS,Hirundo rustica,Goleta Sanitary District Plant,11 Jul 2001,Dave Compton,Fledgling Begging,,,Adult female with 2 begging juveniles,,34.42518,-119.835,20,2,,"Compton field notes, airport project for URS",-13339971.179211939,4086037.199910839
277,Black-necked Stilt,BNST,Himantopus mexicanus,Goleta Sanitary District Plant,11 Jul 2001,Dave Compton,Fledgling under Parental Care,,,4 full-sized juveniles,One grown juvenile was present on 9 August. Could this be one of the four seen previously?,34.4232,-119.8315851,150,5,,"Compton field notes, airport project for URS",-13339591.03428283,4085769.992614056
278,Canada Goose,CANG,Branta canadensis,Goleta Sanitary District Plant,11 Jul 2001,Dave Compton,Fledgling under Parental Care,,,2 adults with 2 3/4-grown juveniles,This family was seen at this location at least through 9 August 2004. With other observers (Rec # 260).,34.4221,-119.8314502,100,4,,Compton field notes,-13339576.017283522,4085621.5468502394
280,Red-winged Blackbird,RWBL,Agelaius phoeniceus,Goleta Sanitary District Plant,11 Jul 2001,Dave Compton,Fledgling under Parental Care,,,Fledgling accompanied by two adults,,34.4235042,-119.8320547,50,5,,"Compton field notes, airport project for URS",-13339643.309915703,4085811.0449600294
281,Belding's Savannah Sparrow,BSSP,Passerculus sandwichensis [guttatus Group],"Goleta Slough, Area B-D",17 Jul 2001,Dave Compton,Fledgling under Parental Care,,,At least 2 adults with 1 juvenile,[Editor: Could be a repeat of others this place and year.],34.4235,-119.8452105,350,1,,"Compton field notes, airport project for URS",-13341107.806872683,4085810.4781613345
282,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Santa Ynez Mtns, Windermere",21 Jul 2001,Mark Holmgren,Fledgling Begging,Coast Live Oak,,Adult carrying food of moderate to small size to nestlings begging; taking big wads of food to nest on 29 July., property near 5797 West Camino Cielo,34.50052,-119.82556,25,683,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338920.32321885,4096209.28007382
283,Cooper's Hawk,COHA,Accipiter cooperii,"Santa Ynez Mtns, Windermere",21 Jul 2001,Mark Holmgren,Carrying Food,,,Cooper's Hawk male carrying food across cyn from Windemere to Kinevan and out of view., property near 5797 West Camino Cielo,34.50285,-119.82509,250,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338868.003058176,4096524.0130114276
286,American Coot,AMCO,Fulica americana,"Goleta, Santa Barbara Airport",26 Jul 2001,Morgan Ball,Fledgling under Parental Care,,,"Pair with 1 full-grown, all-gray juvenile",W of main runway,34.4286291,-119.8550948,200,3,,"Compton field notes, airport project for URS",-13342208.12211553,4086502.682039313
287,California Towhee,CALT,Melozone crissalis,"Goleta, Santa Barbara Airport",26 Jul 2001,Morgan Ball,Fledgling under Parental Care,,,Adult with 2 semi-independent juvs,W of main runway,34.4273786,-119.8565318,300,2,,"Compton field notes, airport project for URS",-13342368.088223802,4086333.9153881865
290,American Coot,AMCO,Fulica americana,Goleta Sanitary District Plant,9 Aug 2001,Dave Compton,Fledgling under Parental Care,,,2 juveniles accompanied by 2 adults,,34.4230992,-119.8316386,150,5,,"Compton field notes, airport project for URS",-13339596.989875587,4085756.389502777
292,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, Windermere",11 Aug 2001,Mark Holmgren,Fledgling Begging,,,begging juv (full-tailed and also able to give an adult-like call), property near 5797 West Camino Cielo,34.50069,-119.82545,50,680,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338908.078074863,4096232.2431236953
293,Clark's Grebe,CLGR,Aechmophorus clarkii,"Cachuma Lake, Cachuma Bay",23 Aug 2001,Dave Compton,Fledgling under Parental Care,,0,Adult with 2 less-than-full-grown juveniles,"With Mason, L.; Radasky, K.  Near Western/Clark's nesting colony with 31 active nests",34.5927609,-119.9444583,300,233,,"Compton field notes, Cachuma project for URS",-13352156.021431036,4108675.773271506
294,Clark's Grebe,CLGR,Aechmophorus clarkii,"Cachuma Lake, Cachuma Bay",23 Aug 2001,Dave Compton,Nest in Use (clarify),willow,0,4 occupied nests,"With Mason, L.; Radasky, K.  nests anchored to dead willows in shallow water at the back of the bay",34.59777,-119.9397081,100,234,,"Compton field notes, Cachuma project for URS",-13351627.23158587,4109353.156388218
295,Clark's Grebe,CLGR,Aechmophorus clarkii,"Cachuma Lake, east end",23 Aug 2001,Dave Compton,Nestling in Nest,,0,"2+ occupied nests. On 20 Oct 2001, Holmgren saw 1 adult was carrying fledglings on its back.","With Mason, L.; Radasky, K.nests anchored to dead vegetation in shallow water",34.5528,-119.89804,200,234,,"Compton field notes, Cachuma project for URS",-13346988.759911546,4103273.3023268003
296,Western Grebe,WEGR,Aechmophorus occidentalis,"Cachuma Lake, Cachuma Bay",23 Aug 2001,Dave Compton,Adult at Nest (clarify),willow,0,25 occupied nests,"With Mason, L.; Radasky, K.nests anchored to dead willows in shallow water at the back of the bay",34.59781,-119.93971,100,234,,"Compton field notes, Cachuma project for URS",-13351627.443092903,4109358.565772768
297,Western Grebe,WEGR,Aechmophorus occidentalis,"Cachuma Lake, east end",23 Aug 2001,Dave Compton,Nestling in Nest,,0,1+ occupied nest,"With Mason, L.; Radasky, K.  nests anchored to dead vegetation in shallow water",34.55284,-119.89804,200,234,,"Compton field notes, Cachuma project for URS",-13346988.759911546,4103278.708785938
299,Double-crested Cormorant,DCCO,Phalacrocorax auritus,"Goleta, UCSB Campus Lagoon",3 Apr 2002,Mark Holmgren,Visiting Probable Nest Site,Eucalyptus,16,2 adults on single nest on lagoon island. Still active on 29 May (Holmgren). Still tending nest on 3 July. Flimsy nest blown down and nesting failed. ,The nest was occupied until at least 14 May 2002 but failed,34.407749,-119.846336,25,6,,,-13341233.09695957,4083685.0483442857
300,Western Bluebird,WEBL,Sialia mexicana,"Santa Ynez Mtns, West Camino Cielo",13 Apr 2002,Mark Holmgren,Cavity Nester Attending Cavity,Coast Live Oak,3.66,"Nest at (2C+), on road above Gene Terry's house. male and female entering hole.",in snag.  along entrance rd to 5797 WCC,34.50232,-119.82426,25,671,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338775.607880818,4096452.4206260666
301,Black Phoebe,BLPH,Sayornis nigricans,"Santa Ynez Mtns, Kinevan Rd",20 Apr 2002,Mark Holmgren,Carrying Nesting Material,,,carrying nesting material  at SJ ck Kinevan Bridge.,,34.50685,-119.82572,25,621,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338938.134337377,4097064.347583562
302,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, Windermere",20 Apr 2002,Mark Holmgren,Carrying Nesting Material,,,Carrying nesting material  with tuft of fur but unable to see delivery near lower pond., property near 5797 West Camino Cielo,34.50039,-119.8253,100,676,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338891.380151242,4096191.720126101
303,Great Horned Owl,GHOW,Bubo virginianus,"Santa Ynez Mtns, upper San Jose Ck",27 Apr 2002,Mark Holmgren,Fledgling out of Nest--Brancher,cliff,,Big chick on cliffs on W side Deadman Cyn.,,34.50639,-119.83036,100,681,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13339454.656774657,4097002.2077881875
304,Great Blue Heron,GBHE,Ardea herodias,"Cachuma Lake, Santa Cruz Bay",3 May 2002,Dave Compton,Nest in Use (clarify),Coast Live Oak,,2 adults at nests,,34.57779,-119.92668,25,245,,"Compton field notes, Cachuma project for URS",-13350176.950127864,4106651.4943219074
305,Oak Titmouse,OATI,Baeolophus inornatus,"Cachuma Lake, east end",3 May 2002,Dave Compton,Delivering Food to Nest or Cavity,,,Adult making food delivery to nest cavity.,,34.55893,-119.8953,300,242,,"Compton field notes, Cachuma project for URS",-13346683.744506774,4104101.8725154493
306,Tree Swallow,TRES,Tachycineta bicolor,"Cachuma Lake, east end",3 May 2002,Dave Compton,Carrying Nesting Material,,,Adult carrying nesting material,,34.5604392,-119.8973271,100,239,,"Compton field notes, Cachuma project for URS",-13346909.40024656,4104305.875051554
307,Northern Flicker,NOFL,Colaptes auratus,"Santa Ynez Mtns, 5797 West Camino Cielo",4 May 2002,Mark Holmgren,Cavity Nester Attending Cavity,Coast Live Oak,4.6,Cavity with male present. From the blue tank hairpin one looks upslope 40m. It is ~ 15ï¿½ off ground where limb is broken from main trunk in oak with hole facing N,Driveway S of lower hairpin. Not sure if this is sufficient nesting evidence.,34.50147,-119.8254,50,673,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338902.512100324,4096337.603599938
308,Great Egret,GREG,Ardea alba,"Goleta, SoCal Gas Plant, nr Goleta Slough mouth",13 May 2002,Mark Holmgren,Nest in Use (clarify),Eucalyptus,6.1,"2 adults at a nest. On 6 July 2002, Compton found 2 half-grown nestlings. On 23 July 2002, Holmgren saw 2 large nestlings. On 28 July 2002, Compton found 2 large nestlings branching, hopping around, flapping wings.","MH et al. Active rookery; first breeding record for Santa Barbara Co.; Also see records for 6, 23, and 28 July 2002",34.41865,-119.82853,50,3,,,-13339250.942106504,4085155.97962246
309,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez River, upstream of Cachuma Lake",17 May 2002,Dave Compton,Fledgling Begging,,,Adult with begging juvenile,"With Radasky, K",34.5490222,-119.8674074,100,244,,"Compton field notes, Cachuma project for URS",-13343578.754477873,4102762.701007914
310,Purple Finch,PUFI,Haemorhous purpureus,"Santa Ynez River, upstream of Cachuma Lake",17 May 2002,Dave Compton,Nest Building,,,Female building nest,"With Radasky, K",34.5484778,-119.8683256,150,244,,"Compton field notes, Cachuma project for URS",-13343680.96803432,4102689.1226981315
311,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"Cachuma Lake, intake gaging station",24 May 2002,Dave Compton,Nest Building,intake tower,6,10+ nests under construction on water intake tower; birds gathering mud from nearby flats,"With Mason, L.",34.56559,-119.93094,10,237,,"Compton field notes, Cachuma project for URS",-13350651.171158645,4105002.1501200832
312,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, 5797 West Camino Cielo",24 May 2002,Mark Holmgren,Feeding Fledgling,,,Oak Titmouse feeding begging fledglings,,34.50085,-119.82541,150,682,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338903.62529523,4096253.8554487107
313,Song Sparrow,SOSP,Melospiza melodia,"Cachuma Lake, DeVaul Cyn",24 May 2002,Dave Compton,Fledgling Begging,,,2 begging juveniles with adult,"With Mason, L.  South shore nr Arrowhead Island",34.5625176,-119.9171537,100,232,,"Compton field notes, Cachuma project for URS",-13349116.48726272,4104586.8239086373
314,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Santa Ynez Mtns, Windermere",1 Jun 2002,Mark Holmgren,Cavity Nester Attending Cavity,Coast Live Oak,8.6,"in cavity in the third oak down slope from the first nest tree, in gnarled branch handing over lower valley. On 17 June 2002: First baby Acorn Woodpecker", property near 5797 West Camino Cielo,34.50057,-119.82556,25,683,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338920.32321885,4096216.0339071583
315,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Cachuma Lake, Horse Cyn",9 Jun 2002,Dave Compton,Fledgling Begging,,,Juvenile begging from adult 20 ft up in oak.,"With Radasky, K",34.56783,-119.89428,100,247,,"Compton field notes, Cachuma project for URS",-13346570.198626164,4105304.962393449
316,California Quail,CAQU,Callipepla californica,Santa Ynez River nr Live Oak Camp,9 Jun 2002,Dave Compton,Fledgling under Parental Care,,,"Adult with 2 mobile, 1/2-size chicks","With Radasky, K",34.5575336,-119.8810902,50,232,,"Compton field notes, Cachuma project for URS",-13345101.916806499,4103913.120748851
317,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,Santa Ynez River nr Live Oak Camp,9 Jun 2002,Dave Compton,Fledgling under Parental Care,,,Juvenile coming to riparian with adult,"With Radasky, K",34.5581183,-119.881143,50,234,,"Compton field notes, Cachuma project for URS",-13345107.794475611,4103992.154420778
